City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Airai,TL,76.37,broken clouds,-8.9266,125.4092,Juvinal Martin
9,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Atuona,PF,77.88,clear sky,-9.8,-139.0333,Villa Enata
17,Rikitea,PF,73.94,clear sky,-23.1203,-134.9692,People ThankYou
19,Qui Nhon,VN,82.85,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
23,Ponta Do Sol,PT,74.71,broken clouds,32.6667,-17.1,Hotel do Campo
26,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
30,Caravelas,BR,74.46,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
40,Hilo,US,82.13,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Hithadhoo,MV,82.6,scattered clouds,-0.6,73.0833,Scoop Guest House
42,Nicoya,CR,76.55,moderate rain,10.1483,-85.452,Las Cabinas Del Sueño
54,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
57,San Patricio,US,84.29,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
59,Greenville,US,79.21,clear sky,35.6127,-77.3663,the 5th Street Inn
62,Port Augusta,AU,77.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
64,Gat,IL,73.4,clear sky,31.61,34.7642,OlusHome
65,Westport,US,78.03,clear sky,41.1415,-73.3579,The Westport Inn
66,Butaritari,KI,82.96,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Mamallapuram,IN,82.45,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
68,Sungairaya,ID,84.18,broken clouds,0.7,108.9,Mess P.Milu
69,Samastipur,IN,78.17,overcast clouds,25.85,85.7833,Hotel Madanlok
71,Tshela,CD,72.18,overcast clouds,-4.9833,12.9333,Hotel Mirador
72,Itarema,BR,79.16,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
75,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
82,Lompoc,US,70.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
83,Chambersburg,US,71.17,overcast clouds,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
89,Bengkulu,ID,81.81,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
108,Luwuk,ID,78.08,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
113,Trairi,BR,79.18,clear sky,-3.2778,-39.2689,janelas do mar
115,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
118,Tiruchchendur,IN,80.89,overcast clouds,8.4833,78.1167,Hotel Udhayam International
124,Polis,CY,73.22,clear sky,35.0367,32.4264,Marion
127,Planaltina,BR,77.29,clear sky,-15.4528,-47.6142,Retiro Maranata
130,Wamba,NG,72.03,light rain,8.9333,8.6,Roma Zee Guest House Annex
133,Saint Paul,US,72.81,few clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
134,Mandih,PH,83.95,broken clouds,8.2087,123.0141,Glenn Belandres Autor
135,Bougouni,ML,73.58,light rain,11.417,-7.479,Non Stop
144,Dodge City,US,78.31,clear sky,37.7528,-100.0171,Windsor Inn & Suites
151,Ribeira Grande,PT,71.29,clear sky,38.5167,-28.7,Quinta da Meia Eira
153,Tabou,CI,74.98,moderate rain,4.423,-7.3528,hotêl doufoulougou
156,Pacific Grove,US,71.15,clear sky,36.6177,-121.9166,Lovers Point Inn
162,Pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
164,Poum,NC,71.13,broken clouds,-20.2333,164.0167,Gîte kajeon
167,Bandarbeyla,SO,78.01,overcast clouds,9.4942,50.8122,JABIR HOTEL
171,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
172,Faanui,PF,79.32,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
173,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
174,Bom Jesus,BR,76.86,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
183,Vung Tau,VN,81.72,overcast clouds,10.346,107.0843,Green hotel
186,San Francisco,US,76.14,smoke,37.7749,-122.4194,The Clift Royal Sonesta Hotel
187,Saint Anthony,US,72.03,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
188,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
196,Sindou,BF,70.57,moderate rain,10.6667,-5.1667,LERABA HOTEL
198,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
200,Luang Prabang,LA,76.96,mist,19.8856,102.1347,Villa Oasis
202,Meulaboh,ID,81.03,overcast clouds,4.1363,96.1285,Kost Pria
203,Pierre,US,77.86,clear sky,44.3683,-100.351,Ramkota Hotel
205,Whyalla,AU,75.09,clear sky,-33.0333,137.5833,Foreshore Motor Inn
207,Gizo,SB,82.98,light rain,-8.103,156.8419,Imagination Island
208,Yopal,CO,70.57,light rain,5.3378,-72.3959,Hotel Camoruco
213,Guerrero Negro,MX,70.7,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
