City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,48.47,78,99,3.27,overcast clouds
1,Saint George,US,37.1041,-113.5841,95.63,11,1,1.99,clear sky
2,Ushuaia,AR,-54.8,-68.3,28.06,100,75,17.27,heavy snow
3,Barrow,US,71.2906,-156.7887,35.62,93,90,11.5,light rain
4,Khatanga,RU,71.9667,102.5,36.43,99,100,12.88,light rain
5,Airai,TL,-8.9266,125.4092,76.37,44,56,5.37,broken clouds
6,Busselton,AU,-33.65,115.3333,51.08,79,91,22.62,light rain
7,Hermanus,ZA,-34.4187,19.2345,52.9,79,94,12.33,light rain
8,Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,19,1.99,few clouds
9,Vaini,TO,-21.2,-175.2,82.56,83,40,11.5,scattered clouds
10,Orlik,RU,52.5178,99.825,50.79,59,71,4.79,broken clouds
11,Merauke,ID,-8.4667,140.3333,84.9,55,72,11.21,broken clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,76,75,5.75,broken clouds
13,Hualmay,PE,-11.0964,-77.6139,61.16,85,26,11.14,scattered clouds
14,Chiredzi,ZW,-21.05,31.6667,68.86,65,0,5.93,clear sky
15,Atuona,PF,-9.8,-139.0333,77.88,75,5,19.95,clear sky
16,Yellowknife,CA,62.456,-114.3525,46.92,71,75,18.41,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,73.94,67,1,14.34,clear sky
18,Hobart,AU,-42.8794,147.3294,58.05,61,20,1.01,few clouds
19,Qui Nhon,VN,13.7667,109.2333,82.85,77,100,3.11,overcast clouds
20,Port Lincoln,AU,-34.7333,135.8667,64.94,57,0,16.67,clear sky
21,Faya,SA,18.3851,42.4509,68.11,50,8,4.36,clear sky
22,Albany,US,42.6001,-73.9662,67.87,94,100,1.61,moderate rain
23,Ponta Do Sol,PT,32.6667,-17.1,74.71,70,58,5.23,broken clouds
24,Longyearbyen,SJ,78.2186,15.6401,35.44,64,40,18.41,scattered clouds
25,Sol-Iletsk,RU,51.1631,54.9918,48.6,64,0,5.55,clear sky
26,Acapulco,MX,16.8634,-99.8901,82.22,78,75,6.91,broken clouds
27,Constitucion,CL,-35.3333,-72.4167,50.79,83,0,9.8,clear sky
28,Bluff,NZ,-46.6,168.3333,48.79,61,82,12.55,broken clouds
29,Mahebourg,MU,-20.4081,57.7,68.29,88,40,3.44,light rain
30,Caravelas,BR,-17.7125,-39.2481,74.46,86,0,9.48,clear sky
31,Le Port,RE,-20.9373,55.2919,68.0,78,24,3.91,few clouds
32,Prieska,ZA,-29.6641,22.7474,48.29,53,0,6.51,clear sky
33,Torbay,CA,47.6666,-52.7314,48.58,86,1,12.66,clear sky
34,Bulaevo,KZ,54.9056,70.4439,59.74,67,100,13.38,overcast clouds
35,Viedma,AR,-40.8135,-62.9967,52.93,39,15,7.4,few clouds
36,Kloulklubed,PW,7.0419,134.2556,86.5,77,41,9.73,scattered clouds
37,Kapuskasing,CA,49.4169,-82.4331,50.09,100,20,2.3,light rain
38,San Borja,BO,-14.8167,-66.85,75.96,68,22,2.84,few clouds
39,Punta Arenas,CL,-53.15,-70.9167,33.91,64,40,9.22,scattered clouds
40,Hilo,US,19.7297,-155.09,82.13,81,90,14.97,moderate rain
41,Hithadhoo,MV,-0.6,73.0833,82.6,73,38,11.72,scattered clouds
42,Nicoya,CR,10.1483,-85.452,76.55,93,100,1.77,moderate rain
43,Tiznit,MA,29.5833,-9.5,63.25,89,56,4.99,broken clouds
44,Sretensk,RU,52.2453,117.7093,51.35,59,50,6.71,scattered clouds
45,Sept-Iles,CA,50.2001,-66.3821,52.32,97,90,3.44,light intensity drizzle
46,Cape Town,ZA,-33.9258,18.4232,54.88,86,20,5.01,few clouds
47,Mehamn,NO,71.0357,27.8492,38.98,76,40,5.99,scattered clouds
48,New Norfolk,AU,-42.7826,147.0587,57.7,41,9,1.23,clear sky
49,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,88,20,4.18,few clouds
50,Poya,NC,-21.35,165.15,73.89,55,16,10.63,few clouds
51,Muros,ES,42.7762,-9.0603,66.24,88,8,8.05,clear sky
52,Port Moresby,PG,-9.4431,147.1797,85.42,66,40,17.27,haze
53,Mar Del Plata,AR,-38.0023,-57.5575,46.42,87,0,4.61,clear sky
54,Sakakah,SA,29.9697,40.2064,80.17,25,3,6.62,clear sky
55,Askiz,RU,53.1319,90.5264,55.13,58,84,5.08,broken clouds
56,Jamestown,US,42.097,-79.2353,60.44,91,1,2.35,clear sky
57,San Patricio,US,28.017,-97.5169,84.29,72,73,8.21,broken clouds
58,Gamba,GA,-2.65,10.0,76.05,86,100,5.53,overcast clouds
59,Greenville,US,35.6127,-77.3663,79.21,80,1,8.05,clear sky
60,Buala,SB,-8.145,159.5921,85.66,66,100,7.67,overcast clouds
61,Jardim,BR,-21.4803,-56.1381,68.49,85,99,8.14,overcast clouds
62,Port Augusta,AU,-32.5,137.7667,77.7,19,0,16.91,clear sky
63,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,15,8.32,few clouds
64,Gat,IL,31.61,34.7642,73.4,100,9,3.15,clear sky
65,Westport,US,41.1415,-73.3579,78.03,87,1,1.01,clear sky
66,Butaritari,KI,3.0707,172.7902,82.96,72,98,12.26,overcast clouds
67,Mamallapuram,IN,12.6264,80.1722,82.45,75,100,11.21,overcast clouds
